,X10_12N_N_N_2,X11_12N_N_N_2,X12_12N_N_N_2,X13_12N_N_N_2,X14_12N_N_N_2,X15_12N_N_N_2,X16_12N_N_N_2,X17_12N_N_N_2,X18_12N_N_N_2,X19_12N_N_N_2,X20_12N_N_N_2
Otu502,0,0.00337837837837838,0,0,0.0202702702702703,0.0202702702702703,0,0.00337837837837838,0.00675675675675676,0.00675675675675676,0
Otu2434,0,0,0,0,0.00337837837837838,0,0,0,0,0.00337837837837838,0
Otu144,0.0236486486486486,0.0101351351351351,0,0.00337837837837838,0,0.00675675675675676,0,0.0101351351351351,0.00337837837837838,0.0101351351351351,0.00337837837837838
Otu8284,0.0574324324324324,0.00675675675675676,0.00337837837837838,0.00675675675675676,0,0,0.0337837837837838,0,0,0.00337837837837838,0.0574324324324324
Otu1165,0.0439189189189189,0.0337837837837838,0.0777027027027027,0,0,0,0,0.00337837837837838,0.0101351351351351,0.00337837837837838,0.00337837837837838
Otu16,0,0,0,0,0,0,0,0.0135135135135135,0.0439189189189189,0.114864864864865,0.320945945945946
Otu12775,0.00337837837837838,0,0.00675675675675676,0.0135135135135135,0.0574324324324324,0,0,0,0,0,0
Otu692,0.0135135135135135,0.0168918918918919,0.0236486486486486,0,0,0,0,0,0,0.00337837837837838,0
Otu762,0,0,0.0101351351351351,0,0,0,0,0,0,0,0
Otu6860,0,0,0.00337837837837838,0,0,0,0,0,0,0,0
Otu673,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu331,0,0.00675675675675676,0,0.0135135135135135,0.0371621621621622,0.00675675675675676,0,0,0,0,0.00337837837837838
Otu2205,0,0,0,0,0.0101351351351351,0,0,0,0,0,0
Otu1416,0,0,0,0,0,0,0.00675675675675676,0,0,0.00337837837837838,0
Otu175,0,0,0,0,0,0,0.00337837837837838,0.0101351351351351,0.00337837837837838,0.00675675675675676,0.00337837837837838
Otu3033,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu274,0,0.0135135135135135,0.0101351351351351,0.00337837837837838,0.027027027027027,0,0,0,0,0,0
Otu2523,0,0,0,0,0.0168918918918919,0,0,0,0,0,0
Otu2473,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu434,0,0.00337837837837838,0,0,0,0,0,0,0,0,0.00337837837837838
Otu406,0,0.00337837837837838,0,0.0540540540540541,0.0405405405405405,0.0168918918918919,0.0574324324324324,0.00675675675675676,0.00337837837837838,0.00337837837837838,0.0101351351351351
Otu390,0,0,0.0135135135135135,0.0135135135135135,0,0,0,0.00337837837837838,0,0,0
Otu1750,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu3822,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu134,0,0,0,0,0,0,0,0.0168918918918919,0,0,0
Otu139,0.0168918918918919,0.0101351351351351,0,0,0,0,0.00337837837837838,0,0,0,0.027027027027027
Otu163,0.0878378378378378,0.0202702702702703,0.0135135135135135,0,0,0,0,0,0,0,0
Otu14,0.00337837837837838,0,0,0.0810810810810811,0,0,0,0.0304054054054054,0,0,0
Otu1928,0.0101351351351351,0.0168918918918919,0.0236486486486486,0.0135135135135135,0.0608108108108108,0,0,0.00675675675675676,0,0,0
Otu816,0.0101351351351351,0,0,0,0,0.0371621621621622,0,0,0,0,0
Otu242,0.0371621621621622,0.0304054054054054,0,0,0,0,0,0,0,0,0
Otu40,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu131,0,0,0,0.0304054054054054,0.0202702702702703,0.00675675675675676,0.027027027027027,0.00675675675675676,0,0,0
Otu951,0,0,0,0,0,0,0,0.0168918918918919,0,0.00337837837837838,0
Otu630,0.00675675675675676,0.00337837837837838,0,0,0,0,0.00337837837837838,0,0,0,0
Otu2083,0,0,0.0337837837837838,0,0,0.00337837837837838,0,0,0,0,0
Otu1283,0,0.00337837837837838,0,0,0,0,0,0,0.00675675675675676,0,0
Otu2398,0,0,0,0,0,0.0135135135135135,0.0202702702702703,0,0.0135135135135135,0,0
Otu2211,0,0.00337837837837838,0,0,0,0,0,0,0,0,0
Otu122,0,0.00337837837837838,0.0135135135135135,0.00675675675675676,0,0,0,0,0,0,0
Otu2581,0,0,0.0236486486486486,0,0,0,0,0.00337837837837838,0,0,0
Otu4063,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu116,0,0,0,0,0,0.027027027027027,0,0,0,0.0304054054054054,0
Otu11453,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu12405,0,0.00337837837837838,0,0,0.00675675675675676,0,0.00337837837837838,0.00337837837837838,0.00337837837837838,0,0
Otu1679,0,0,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838
Otu11765,0,0.00337837837837838,0.00337837837837838,0,0,0,0,0,0.00337837837837838,0,0
Otu263,0,0,0,0,0,0,0,0,0.00675675675675676,0,0.00337837837837838
Otu1266,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu4656,0,0,0,0,0,0,0.00337837837837838,0,0,0,0
Otu7076,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
