,X10_22S_H_C_2,X11_22S_H_C_2,X12_22S_H_C_2,X13_22S_H_C_2,X14_22S_H_C_2,X15_22S_H_C_2,X16_22S_H_C_2,X17_22S_H_C_2,X18_22S_H_C_2,X19_22S_H_C_2,X20_22S_H_C_2
Otu193,0,0,0.0371621621621622,0.00337837837837838,0,0,0,0.00675675675675676,0,0.00675675675675676,0
Otu264,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu507,0.0371621621621622,0.00337837837837838,0,0,0,0,0,0,0,0,0.00337837837837838
Otu9526,0.0135135135135135,0.0101351351351351,0.216216216216216,0,0.0236486486486486,0.0337837837837838,0.00675675675675676,0.0202702702702703,0,0.00337837837837838,0.0168918918918919
Otu10837,0,0.0168918918918919,0,0,0,0,0,0,0,0,0
Otu5,0,0.0405405405405405,0.0371621621621622,0.175675675675676,0.128378378378378,0.125,0.0945945945945946,0.0371621621621622,0.189189189189189,0.0878378378378378,0.121621621621622
Otu3234,0.0135135135135135,0,0.00337837837837838,0.027027027027027,0.0135135135135135,0.0202702702702703,0,0,0,0,0
Otu1213,0.00675675675675676,0,0.00337837837837838,0,0,0.00337837837837838,0,0.0135135135135135,0.0675675675675676,0.00675675675675676,0.0236486486486486
Otu1020,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu109,0.00337837837837838,0.0405405405405405,0.0236486486486486,0.00337837837837838,0.0101351351351351,0.0168918918918919,0,0.0168918918918919,0.00675675675675676,0.00337837837837838,0.00337837837837838
Otu94,0.0135135135135135,0,0,0,0,0,0.00337837837837838,0.0371621621621622,0,0,0.00337837837837838
Otu35,0.0236486486486486,0.0236486486486486,0,0.0202702702702703,0.0202702702702703,0.0371621621621622,0.0743243243243243,0.0101351351351351,0.0304054054054054,0.0405405405405405,0.0135135135135135
Otu121,0.0540540540540541,0.0337837837837838,0.0135135135135135,0,0,0.027027027027027,0.0135135135135135,0.00337837837837838,0.00337837837837838,0,0.0912162162162162
Otu451,0.00337837837837838,0,0,0,0,0,0,0.00337837837837838,0.0101351351351351,0,0.00337837837837838
Otu92,0.00337837837837838,0.0304054054054054,0.00337837837837838,0,0.0101351351351351,0,0,0,0.00337837837837838,0,0
Otu1298,0,0,0,0.00337837837837838,0.00675675675675676,0,0,0,0,0,0
Otu123,0.0202702702702703,0,0,0.0101351351351351,0,0,0.00675675675675676,0,0.00337837837837838,0.0135135135135135,0.00675675675675676
Otu3302,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu23,0.027027027027027,0.00337837837837838,0.00337837837837838,0.101351351351351,0.0135135135135135,0.00337837837837838,0.0540540540540541,0.027027027027027,0,0.0709459459459459,0.0810810810810811
Otu60,0,0.0101351351351351,0,0.0371621621621622,0,0.00675675675675676,0,0.0101351351351351,0.00675675675675676,0,0
Otu502,0,0,0,0,0,0.00337837837837838,0,0.00337837837837838,0,0,0
Otu144,0.00675675675675676,0.00675675675675676,0,0,0.00337837837837838,0,0,0,0,0.00337837837837838,0
Otu3381,0.0304054054054054,0,0,0,0,0,0,0,0,0,0
Otu8284,0,0.0405405405405405,0.0236486486486486,0,0,0,0,0.00675675675675676,0,0,0.00675675675675676
