,X10_15N_H_N_0,X11_15N_H_N_0,X12_15N_H_N_0,X13_15N_H_N_0,X14_15N_H_N_0,X15_15N_H_N_0,X16_15N_H_N_0,X17_15N_H_N_0,X18_15N_H_N_0,X19_15N_H_N_0,X20_15N_H_N_0
Otu9526,0.0135135135135135,0.172297297297297,0.239864864864865,0.0810810810810811,0.0641891891891892,0.0608108108108108,0,0.00675675675675676,0.0337837837837838,0.0202702702702703,0.0202702702702703
Otu10837,0,0,0,0,0,0,0.00337837837837838,0,0,0,0
Otu5,0.00675675675675676,0,0,0,0,0,0.00675675675675676,0.141891891891892,0.260135135135135,0.179054054054054,0.155405405405405
Otu3234,0.0439189189189189,0,0,0.00337837837837838,0,0.00675675675675676,0,0.00337837837837838,0,0,0
Otu1213,0,0,0,0,0,0,0,0.0878378378378378,0,0.0101351351351351,0.00675675675675676
Otu109,0.0168918918918919,0.00337837837837838,0,0.00337837837837838,0,0.0743243243243243,0,0.00337837837837838,0.00675675675675676,0,0.00675675675675676
Otu94,0.00337837837837838,0,0,0,0,0,0.0304054054054054,0,0,0,0
Otu35,0.00675675675675676,0,0,0,0,0.0236486486486486,0.14527027027027,0.0101351351351351,0,0.0135135135135135,0.00675675675675676
Otu121,0,0.0945945945945946,0,0,0,0.00337837837837838,0.00337837837837838,0.0337837837837838,0.0101351351351351,0,0.0168918918918919
Otu13211,0,0,0,0,0,0,0,0,0.0135135135135135,0.00337837837837838,0
Otu451,0,0,0,0,0,0,0.00337837837837838,0,0,0,0
Otu92,0.0371621621621622,0,0.0101351351351351,0.0371621621621622,0.0472972972972973,0.0101351351351351,0,0,0,0,0
Otu1298,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu123,0,0,0,0,0,0.0135135135135135,0,0,0.00337837837837838,0.0135135135135135,0.00675675675675676
Otu3302,0,0,0,0,0,0.00675675675675676,0,0,0,0.00337837837837838,0
Otu23,0.00337837837837838,0,0,0,0,0,0.0608108108108108,0,0.0236486486486486,0.00675675675675676,0
Otu60,0,0,0,0,0,0.00675675675675676,0.0304054054054054,0.00675675675675676,0,0,0
Otu502,0,0,0,0,0,0,0,0,0.00675675675675676,0,0.00337837837837838
Otu144,0,0.0101351351351351,0.00337837837837838,0.00675675675675676,0.00337837837837838,0.121621621621622,0.0236486486486486,0.0202702702702703,0.00675675675675676,0,0.0101351351351351
Otu8284,0.138513513513514,0,0.0574324324324324,0,0,0,0.0168918918918919,0.0202702702702703,0.00337837837837838,0,0
Otu1165,0.0101351351351351,0,0,0,0,0,0,0,0.0101351351351351,0,0
Otu16,0,0,0,0,0,0,0.0405405405405405,0.0202702702702703,0.0236486486486486,0.0236486486486486,0.0608108108108108
Otu12775,0,0,0.0236486486486486,0,0,0,0,0,0,0,0
Otu692,0.0168918918918919,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu3958,0,0,0,0,0,0,0.00337837837837838,0,0,0,0
Otu331,0.00337837837837838,0,0,0,0,0.00675675675675676,0,0.00337837837837838,0,0.00675675675675676,0.00337837837837838
Otu2205,0.00337837837837838,0,0,0,0,0,0,0,0,0,0
Otu986,0,0,0.0168918918918919,0,0,0,0,0,0,0,0
Otu608,0.0168918918918919,0.0641891891891892,0,0,0,0,0,0,0,0,0
Otu1432,0,0,0,0,0,0.00337837837837838,0,0.00337837837837838,0,0,0
Otu274,0.00337837837837838,0.0405405405405405,0.0337837837837838,0.00675675675675676,0,0,0,0,0,0,0
Otu2523,0,0,0,0,0,0,0,0,0.00675675675675676,0,0
Otu4018,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu406,0.0675675675675676,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu390,0.0945945945945946,0.00675675675675676,0.00337837837837838,0.523648648648649,0.00675675675675676,0,0,0,0.0168918918918919,0,0.00675675675675676
Otu7923,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu3822,0.00337837837837838,0,0,0,0,0,0,0,0,0,0
Otu134,0,0,0,0,0,0.027027027027027,0,0,0,0.0168918918918919,0
Otu139,0,0,0,0.00675675675675676,0,0.00675675675675676,0.00337837837837838,0.027027027027027,0,0.00675675675675676,0
Otu163,0.0168918918918919,0,0,0,0,0.00337837837837838,0,0,0,0.0101351351351351,0
Otu14,0,0,0,0,0,0.00337837837837838,0,0,0,0.0202702702702703,0.00337837837837838
Otu1928,0,0,0.0574324324324324,0,0.00337837837837838,0,0,0,0,0.00337837837837838,0.00337837837837838
Otu816,0,0,0,0,0,0.00675675675675676,0.00675675675675676,0,0,0,0
Otu242,0,0,0,0,0,0,0.0337837837837838,0,0,0,0
Otu40,0.00337837837837838,0,0,0,0,0,0.0371621621621622,0,0,0.0135135135135135,0
Otu131,0.0168918918918919,0.0236486486486486,0,0.0135135135135135,0,0,0,0.00675675675675676,0,0.00337837837837838,0
Otu1382,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu790,0,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0
Otu2398,0,0,0,0,0,0,0,0,0.0168918918918919,0,0
Otu2211,0,0,0.00675675675675676,0.00337837837837838,0.0236486486486486,0.00675675675675676,0,0,0,0,0
Otu122,0,0.0540540540540541,0.00337837837837838,0.0135135135135135,0.0101351351351351,0.0168918918918919,0.00675675675675676,0.027027027027027,0,0,0
Otu2581,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu1021,0,0,0,0,0,0.0101351351351351,0.00337837837837838,0,0,0,0
Otu263,0,0,0.0236486486486486,0.00337837837837838,0.00675675675675676,0.00337837837837838,0,0.0101351351351351,0,0.00337837837837838,0
Otu5277,0,0,0,0.00675675675675676,0,0,0,0.00337837837837838,0,0,0
Otu9117,0,0,0,0,0,0.00675675675675676,0,0,0.00675675675675676,0,0
Otu278,0,0,0,0,0,0,0,0.0236486486486486,0.00675675675675676,0.00337837837837838,0
Otu13913,0,0,0,0,0,0.0574324324324324,0,0.00675675675675676,0.027027027027027,0,0
Otu3352,0.00337837837837838,0,0,0,0,0,0,0,0,0,0
Otu512,0,0,0,0.0101351351351351,0,0,0,0,0,0,0
Otu420,0.0101351351351351,0,0,0,0,0.027027027027027,0,0,0.00337837837837838,0,0
Otu6191,0.0202702702702703,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0
Otu350,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu893,0.0236486486486486,0,0,0,0,0,0,0,0,0,0
Otu187,0,0,0.0304054054054054,0,0.00675675675675676,0,0,0,0.00675675675675676,0,0
Otu3615,0.0236486486486486,0.0236486486486486,0,0,0,0,0,0.00337837837837838,0,0,0
Otu18,0,0,0,0,0,0,0,0.0405405405405405,0.0844594594594595,0.0337837837837838,0.111486486486486
Otu1049,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu59,0,0,0,0,0,0,0,0,0.0371621621621622,0.027027027027027,0.0202702702702703
Otu10988,0,0,0,0,0.00337837837837838,0,0,0,0.00337837837837838,0,0
Otu6837,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu12216,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu928,0,0,0.00337837837837838,0.00337837837837838,0.00675675675675676,0,0,0,0,0,0
Otu232,0,0,0,0,0,0,0,0.0101351351351351,0,0.0202702702702703,0
Otu10148,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu11836,0,0,0,0,0,0,0,0,0,0.0101351351351351,0
Otu558,0,0,0,0,0,0,0,0,0.0101351351351351,0,0
