,X10_9S_N_C_2,X11_9S_N_C_2,X12_9S_N_C_2,X13_9S_N_C_2,X14_9S_N_C_2,X15_9S_N_C_2,X16_9S_N_C_2,X17_9S_N_C_2,X18_9S_N_C_2,X19_9S_N_C_2,X20_9S_N_C_2
Otu630,0,0,0,0,0,0,0.0641891891891892,0,0,0,0
Otu1283,0,0.00675675675675676,0,0.0101351351351351,0,0,0,0,0,0,0
Otu2398,0,0,0,0.0101351351351351,0.00337837837837838,0,0.135135135135135,0.0168918918918919,0,0,0
Otu122,0.256756756756757,0,0,0,0,0,0,0,0,0,0
Otu2581,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu727,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu4063,0,0.00675675675675676,0,0,0,0,0,0,0,0,0
Otu116,0,0,0,0,0,0.00675675675675676,0.0472972972972973,0.00675675675675676,0,0,0
Otu1021,0,0,0,0,0.0506756756756757,0,0,0,0,0,0
Otu12405,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu11765,0,0.00337837837837838,0,0.00337837837837838,0,0,0,0,0,0,0
Otu825,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu5277,0,0,0,0,0.00337837837837838,0,0,0,0,0,0
Otu1266,0.00675675675675676,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu4656,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0,0
Otu2636,0,0,0,0.00675675675675676,0,0,0,0,0,0,0
Otu7076,0,0,0,0,0,0,0.00675675675675676,0,0,0,0
Otu9117,0,0,0,0.0168918918918919,0,0,0,0,0,0,0
Otu14412,0,0,0,0,0,0,0,0,0.00675675675675676,0.00337837837837838,0.0101351351351351
Otu3127,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu5530,0,0,0,0,0,0,0,0,0,0,0.00675675675675676
Otu110,0,0,0,0,0,0.0236486486486486,0,0.00675675675675676,0.0168918918918919,0.0641891891891892,0.0135135135135135
Otu1304,0,0,0,0,0.0168918918918919,0,0,0,0,0,0
Otu512,0,0,0.0135135135135135,0,0,0,0.0709459459459459,0,0,0,0
Otu420,0,0,0.0101351351351351,0.0506756756756757,0,0.00337837837837838,0,0,0,0,0
Otu6191,0.00337837837837838,0,0.00337837837837838,0.00337837837837838,0,0.00337837837837838,0,0.0135135135135135,0.00337837837837838,0.00675675675675676,0
Otu350,0,0,0,0,0,0,0,0.0439189189189189,0,0.0371621621621622,0.00337837837837838
Otu1377,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu343,0,0,0,0,0,0,0,0,0.00337837837837838,0,0
Otu2129,0,0,0,0,0,0,0,0,0,0,0.00675675675675676
Otu893,0.0135135135135135,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu200,0,0,0,0.00337837837837838,0.00337837837837838,0.00675675675675676,0,0.0472972972972973,0.0202702702702703,0.0135135135135135,0.00337837837837838
Otu562,0,0,0,0,0,0,0,0,0,0.00337837837837838,0
Otu2096,0,0,0,0,0,0,0,0.00337837837837838,0,0,0
Otu505,0.027027027027027,0,0,0,0,0,0,0,0,0,0
Otu187,0,0.0202702702702703,0,0.00337837837837838,0,0,0,0,0,0,0
Otu3615,0.0135135135135135,0.00337837837837838,0.0304054054054054,0.0168918918918919,0,0.00337837837837838,0,0,0.0101351351351351,0,0
Otu18,0,0,0,0,0,0.0439189189189189,0,0.0101351351351351,0.0135135135135135,0.00337837837837838,0.0101351351351351
Otu1049,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu11375,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu931,0,0,0,0.00337837837837838,0,0,0,0,0,0,0
Otu45,0,0.0236486486486486,0,0,0.152027027027027,0.118243243243243,0,0.00337837837837838,0,0.0101351351351351,0.0371621621621622
Otu1391,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
Otu232,0,0,0,0,0,0,0,0,0.00675675675675676,0,0
Otu1540,0,0,0,0,0,0,0,0,0,0,0.00337837837837838
Otu11467,0,0,0,0,0,0.00675675675675676,0,0,0,0,0
Otu2329,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0
Otu2085,0,0,0,0,0,0.00675675675675676,0,0,0,0,0.00675675675675676
Otu747,0,0,0,0,0,0,0,0,0.0236486486486486,0,0
