,X10_17N_N_N_2,X11_17N_N_N_2,X12_17N_N_N_2,X13_17N_N_N_2,X14_17N_N_N_2,X15_17N_N_N_2,X16_17N_N_N_2,X17_17N_N_N_2,X18_17N_N_N_2,X19_17N_N_N_2,X20_17N_N_N_2
Otu69,0.00111565637783563,0.00070658237262923,0.000409074005206396,0.00290070658237263,0.00241725548531052,0.000780959464484939,0.000595016734845668,0.00133878765340275,0.00156191892896988,0.000780959464484939,0.00141316474525846
Otu70,0.00111565637783563,0.000446262551134251,0.000446262551134251,0.00174786165860915,0.000185942729639271,0.00223131275567125,0.00684269245072518,0.000855336556340647,0.00104127928597992,0.000595016734845668,0.00271476385273336
Otu71,0.000669393826701376,0.00070658237262923,0.0013015991074749,0.00096690219412421,0.00159910747489773,0.000297508367422834,0.00026031982149498,0.000818148010412793,0.00104127928597992,0.000446262551134251,0.000483451097062105
Otu72,0.000483451097062105,0.00100409074005206,0.000520639642989959,0.000223131275567125,0.00141316474525846,0.00104127928597992,0.000520639642989959,0.000855336556340647,0.000446262551134251,0.000148754183711417,0.000111565637783563
Otu73,0.000929713648196356,0.00145035329118631,0.00208255857195984,0.00171067311268129,0.00435105987355894,0.00208255857195984,0.000595016734845668,0.000855336556340647,0.00152473038304202,0.00119003346969134,0.000743770918557084
Otu74,0.0013015991074749,0.00193380438824842,0.000855336556340647,0.00238006693938267,0.00297508367422834,0.000520639642989959,0.000892525102268501,0.00171067311268129,0.00171067311268129,0.000855336556340647,0.00104127928597992
Otu75,0.00145035329118631,0.00137597619933061,0.000743770918557084,0.00122722201561919,0.00200818148010413,0.000818148010412793,0.00107846783190777,0.001785050204537,0.0021941242097434,0.00107846783190777,0.00163629602082559
Otu76,0.00152473038304202,0.00223131275567125,0.00241725548531052,0.000446262551134251,0.00323540349572332,0.000148754183711417,0.00026031982149498,0.00137597619933061,0.000855336556340647,0.000855336556340647,0.00126441056154704
Otu77,0.00208255857195984,0.00290070658237263,0.00330978058757903,0.00293789512830048,0.00502045370026032,0.00479732242469319,0.00375604313871328,0.00245444403123838,0.00327259204165117,0.00323540349572332,0.0043882484194868
Otu78,0.00241725548531052,0.00654518408330234,0.00490888806247676,0.00342134622536259,0.00502045370026032,0.00275195239866121,0.00431387132763109,0.00174786165860915,0.00197099293417627,0.00297508367422834,0.00152473038304202
Otu79,0.000297508367422834,0,0.00338415767943473,0.000185942729639271,0,0,3.71885459278542e-05,0,3.71885459278542e-05,0.000334696913350688,0.000111565637783563
Otu80,0.001785050204537,0.00182223875046486,0.000557828188917813,0.000409074005206396,0.000669393826701376,0.000223131275567125,0.000818148010412793,0.000371885459278542,0.000223131275567125,0.000297508367422834,0.000520639642989959
Otu81,0.000371885459278542,0.00152473038304202,0.00159910747489773,0.000743770918557084,0.00345853477129044,0.00208255857195984,0.000446262551134251,0.00156191892896988,0.00215693566381554,0.00163629602082559,0.00104127928597992
Otu82,0.00122722201561919,0.00185942729639271,0.00156191892896988,0.00159910747489773,0.000855336556340647,0.00163629602082559,0.0021941242097434,0.00159910747489773,0.000855336556340647,0.00156191892896988,0.00208255857195984
Otu83,0.00096690219412421,0.00234287839345482,0.00119003346969134,0.00122722201561919,0.00215693566381554,0.00070658237262923,0.000818148010412793,0.00197099293417627,0.0026775753068055,0.00152473038304202,0.00204537002603198
Otu84,0.000818148010412793,0.000780959464484939,0.000669393826701376,0.00122722201561919,0.00152473038304202,0.000818148010412793,0.000929713648196356,0.000855336556340647,0.00126441056154704,0.000520639642989959,0.000669393826701376
Otu86,0.00119003346969134,0.000520639642989959,0.000557828188917813,0.000855336556340647,0.00111565637783563,0.00111565637783563,0.00174786165860915,0.00148754183711417,0.00145035329118631,0.00304946076608405,0.00208255857195984
Otu87,0.00245444403123838,0.00345853477129044,0.00345853477129044,0.00531796206768315,0.00394198586835255,0.00264038676087765,0.00290070658237263,0.00357010040907401,0.00427668278170324,0.00368166604685757,0.00494607660840461
Otu88,0.00070658237262923,0.000483451097062105,0.000334696913350688,0.000669393826701376,0.00100409074005206,0.000111565637783563,7.43770918557084e-05,0.000595016734845668,0.000334696913350688,0.000111565637783563,0.000409074005206396
Otu89,0,0,0,0,0,0.00271476385273336,0.000371885459278542,0.00119003346969134,0.000892525102268501,0.000780959464484939,0.000446262551134251
Otu90,0.000297508367422834,0.00275195239866121,0.00264038676087765,0.00104127928597992,0.00159910747489773,0.000780959464484939,0.000557828188917813,0.00167348456675344,0.001785050204537,0.00141316474525846,0.00182223875046486
Otu91,0.000595016734845668,0.00156191892896988,0.000743770918557084,0.000929713648196356,0.00145035329118631,0.0013015991074749,0.00070658237262923,0.00171067311268129,0.00163629602082559,0.000520639642989959,0.000855336556340647
