,X10_5N_H_N_0,X11_5N_H_N_0,X12_5N_H_N_0,X13_5N_H_N_0,X14_5N_H_N_0,X15_5N_H_N_0,X16_5N_H_N_0,X17_5N_H_N_0,X18_5N_H_N_0,X19_5N_H_N_0,X20_5N_H_N_0
Otu13,0.00598735589438453,0.00595016734845668,0.00464856824098178,0.00290070658237263,0.0103756043138713,0.00148754183711417,0.00435105987355894,0.00851617701747862,0.00327259204165117,0.00736333209371514,0.00479732242469319
Otu14,0.00394198586835255,0.00412792859799182,0.00174786165860915,0.00070658237262923,0.00256600966902194,0.000223131275567125,0.00238006693938267,0.00211974711788769,0.00141316474525846,0.00435105987355894,0.00330978058757903
Otu15,0.0108962439568613,0.00156191892896988,0.00152473038304202,0.00208255857195984,0.00200818148010413,0.00070658237262923,0.00409074005206396,0.0061732986240238,0.0161026403867609,0.00780959464484939,0.0107474897731499
Otu16,0.00319821494979546,0.00371885459278542,0.00193380438824842,0.00156191892896988,0.00394198586835255,0.00174786165860915,0.00182223875046486,0.00955745630345853,0.00721457791000372,0.00371885459278542,0.00453700260319821
Otu17,0.00156191892896988,0.00464856824098178,0.00137597619933061,0.000855336556340647,0.00345853477129044,0.00152473038304202,0.00145035329118631,0.00345853477129044,0.00193380438824842,0.00163629602082559,0.0026031982149498
Otu18,0.00338415767943473,0.00613611007809595,0.00609892153216809,0.0119003346969134,0.00732614354778728,0.00762365191521012,0.00476013387876534,0.0107474897731499,0.0140572703607289,0.00766084046113797,0.00922275939010785
Otu19,0.00345853477129044,0.00174786165860915,0.00163629602082559,0.000855336556340647,0.0026775753068055,0.00122722201561919,0.00163629602082559,0.00241725548531052,0.00204537002603198,0.00241725548531052,0.00312383785793975
Otu20,0.000185942729639271,3.71885459278542e-05,3.71885459278542e-05,3.71885459278542e-05,0,0.000520639642989959,0.000409074005206396,0.000185942729639271,0.000632205280773522,0.000111565637783563,0.000818148010412793
Otu21,0.00606173298624024,0.00301227222015619,0.00223131275567125,0.00587579025660097,0.00509483079211603,0.0101152844923763,0.00922275939010785,0.00494607660840461,0.00290070658237263,0.00297508367422834,0.00293789512830048
Otu22,0.00189661584232057,0.00204537002603198,0.00197099293417627,0.00167348456675344,0.00200818148010413,0.000446262551134251,0.000892525102268501,0.00107846783190777,0.000632205280773522,0.00145035329118631,0.00200818148010413
Otu23,0.00353291186314615,0.00684269245072518,0.00360728895500186,0.00226850130159911,0.00412792859799182,0.0244700632205281,0.00249163257716623,0.00464856824098178,0.00379323168464113,0.00208255857195984,0.00580141316474526
