,X10_4S_H_C_2,X11_4S_H_C_2,X12_4S_H_C_2,X13_4S_H_C_2,X14_4S_H_C_2,X15_4S_H_C_2,X16_4S_H_C_2,X17_4S_H_C_2,X18_4S_H_C_2,X19_4S_H_C_2,X20_4S_H_C_2
Otu43,0.00119003346969134,0.00230568984752696,0.000111565637783563,0.00137597619933061,0.000446262551134251,0.00141316474525846,0.000371885459278542,0.000818148010412793,0.0013015991074749,0.00145035329118631,0.001785050204537
Otu44,0.0124209743399033,0.00780959464484939,0.0138341390851618,0.00992934176273708,0.00818148010412793,0.0105243584975827,0.00855336556340647,0.00896243956861287,0.0106359241353663,0.00825585719598364,0.0092599479360357
Otu45,0.000929713648196356,0.0043882484194868,0.001785050204537,0.00271476385273336,0.00293789512830048,0.00420230568984753,0.00215693566381554,0.00435105987355894,0.00409074005206396,0.00126441056154704,0.00119003346969134
Otu46,0.00100409074005206,0.00360728895500186,0.00141316474525846,0.00264038676087765,0.00193380438824842,0.00271476385273336,0.0026031982149498,0.00301227222015619,0.00539233915953886,0.00096690219412421,0.00107846783190777
Otu47,0.00159910747489773,0.00185942729639271,0.000632205280773522,0.00230568984752696,0.000743770918557084,0.00070658237262923,0.000334696913350688,0.00364447750092971,0.00159910747489773,0.00238006693938267,0.00159910747489773
Otu48,0.00208255857195984,0.00386760877649684,0.00122722201561919,0.00334696913350688,0.00420230568984753,0.00182223875046486,0.00107846783190777,0.00580141316474526,0.00628486426180736,0.0026775753068055,0.00226850130159911
Otu49,0.00278914094458907,0.00189661584232057,0.00189661584232057,0.00167348456675344,0.000892525102268501,0.00141316474525846,0.00174786165860915,0.00126441056154704,0.00290070658237263,0.00111565637783563,0.00137597619933061
Otu51,0.000669393826701376,0.00145035329118631,0.00126441056154704,0.0030866493120119,0.0026031982149498,0.00304946076608405,0.000520639642989959,0.00293789512830048,0.001785050204537,0.00096690219412421,0.00148754183711417
Otu52,0.00252882112309409,0.00513201933804388,0.00944589066567497,0.0043882484194868,0.00412792859799182,0.00264038676087765,0.00420230568984753,0.000595016734845668,0.00111565637783563,0.00449981405727036,0.00461137969505392
Otu53,0.000446262551134251,0.000929713648196356,0.000520639642989959,0.00133878765340275,0.000632205280773522,0.00104127928597992,0.00844179992562291,0.000595016734845668,3.71885459278542e-05,0.00026031982149498,0.000557828188917813
Otu54,0.00345853477129044,0.0013015991074749,0.000446262551134251,0.000929713648196356,0.000334696913350688,0.0034957233172183,0.00226850130159911,0.000185942729639271,0.000334696913350688,0.000409074005206396,0.000371885459278542
Otu55,0.000483451097062105,0.000446262551134251,3.71885459278542e-05,0.000297508367422834,0.000446262551134251,0.000929713648196356,0.00026031982149498,0.000520639642989959,0.000483451097062105,0.000409074005206396,0.000446262551134251
Otu56,0.00234287839345482,0.00520639642989959,0.00286351803644477,0.00364447750092971,0.00364447750092971,0.00301227222015619,0.00137597619933061,0.00357010040907401,0.00420230568984753,0.00256600966902194,0.00215693566381554
Otu57,0.000929713648196356,0.00159910747489773,0.00107846783190777,0.00152473038304202,0.00330978058757903,0.00141316474525846,0.000780959464484939,0.00297508367422834,0.00107846783190777,0.000818148010412793,0.000595016734845668
Otu60,0.000892525102268501,0.00468575678690963,0.00286351803644477,0.0034957233172183,0.00595016734845668,0.0026775753068055,0.00115284492376348,0.00423949423577538,0.00490888806247676,0.00208255857195984,0.00215693566381554
Otu62,0.00126441056154704,0,0,7.43770918557084e-05,0,3.71885459278542e-05,0.0021941242097434,0,3.71885459278542e-05,0.000446262551134251,0.000334696913350688
