,X10_17S_N_C_2,X11_17S_N_C_2,X12_17S_N_C_2,X13_17S_N_C_2,X14_17S_N_C_2,X15_17S_N_C_2,X16_17S_N_C_2,X17_17S_N_C_2,X18_17S_N_C_2,X19_17S_N_C_2,X20_17S_N_C_2
Otu419,0,0,0,0,0,0.00369685767097967,0,0,0,0,0
Otu9952,0,0,0,0,0,0,0,0.00184842883548983,0,0.00739371534195933,0.00369685767097967
Otu781,0,0,0,0,0,0.00184842883548983,0.0055452865064695,0,0,0,0.00184842883548983
Otu813,0,0,0,0,0.00739371534195933,0.00184842883548983,0,0,0,0.00369685767097967,0.00184842883548983
Otu3110,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu1312,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu267,0,0,0,0,0.00184842883548983,0.00924214417744917,0.00184842883548983,0,0.00369685767097967,0,0
Otu404,0.00184842883548983,0.00184842883548983,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0
Otu236,0,0.00739371534195933,0,0.0351201478743068,0.0406654343807763,0.0055452865064695,0.00369685767097967,0.00184842883548983,0,0.00184842883548983,0.00369685767097967
Otu361,0,0.00184842883548983,0,0,0.00739371534195933,0,0,0.00924214417744917,0,0,0
Otu1589,0,0,0,0,0,0.00739371534195933,0.00184842883548983,0.00184842883548983,0,0,0
Otu867,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0
Otu4948,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu207,0.00184842883548983,0.033271719038817,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0,0
Otu1081,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu1247,0,0,0.0203327171903882,0,0.00369685767097967,0,0.00369685767097967,0.00184842883548983,0.00184842883548983,0,0
Otu1505,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu1072,0,0.00184842883548983,0,0,0.00184842883548983,0,0,0.00184842883548983,0,0,0
Otu2791,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu842,0,0,0.00184842883548983,0.0055452865064695,0.00739371534195933,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu376,0,0.0055452865064695,0,0,0,0,0.00369685767097967,0.00184842883548983,0.0055452865064695,0.00184842883548983,0.00369685767097967
Otu11790,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0,0
Otu1004,0,0,0,0,0.00739371534195933,0,0,0,0,0.00369685767097967,0
Otu14993,0.00184842883548983,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu4954,0,0,0,0,0,0.00184842883548983,0.0055452865064695,0,0.00924214417744917,0,0
Otu684,0,0,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0.00369685767097967,0,0.00184842883548983,0,0.00184842883548983
Otu2206,0,0,0,0,0.0055452865064695,0,0,0,0,0,0
Otu170,0,0.00184842883548983,0.00369685767097967,0.0240295748613678,0.0203327171903882,0.00184842883548983,0.0129390018484288,0.00739371534195933,0.0277264325323475,0.0129390018484288,0.00184842883548983
Otu3353,0,0,0,0,0,0,0,0,0,0.00369685767097967,0
Otu12560,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu715,0,0,0,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0,0
Otu379,0.00184842883548983,0,0,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983
Otu1109,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu9169,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
