,X10_22N_H_N_2,X11_22N_H_N_2,X12_22N_H_N_2,X13_22N_H_N_2,X14_22N_H_N_2,X15_22N_H_N_2,X16_22N_H_N_2,X17_22N_H_N_2,X18_22N_H_N_2,X19_22N_H_N_2,X20_22N_H_N_2
Otu1413,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu803,0,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0.00184842883548983
Otu2053,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu929,0.00184842883548983,0,0.00369685767097967,0,0,0.0055452865064695,0,0,0,0,0
Otu438,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu13018,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu1353,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1732,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu259,0,0,0,0.00924214417744917,0,0,0,0.00184842883548983,0,0,0
Otu2376,0,0.00184842883548983,0.0055452865064695,0,0,0,0,0,0,0,0
Otu1609,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu2605,0,0,0,0,0,0,0.00184842883548983,0,0.0055452865064695,0.00369685767097967,0
Otu2354,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu938,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu2994,0.0055452865064695,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu1939,0,0,0,0,0.00739371534195933,0,0,0,0.00184842883548983,0,0
Otu303,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0
Otu6825,0,0,0,0,0,0,0,0,0,0.0055452865064695,0
Otu1532,0,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu565,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu2845,0,0,0,0,0,0,0.0055452865064695,0,0.00184842883548983,0,0
Otu797,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu1493,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0
Otu940,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu3408,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu795,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu6233,0.00184842883548983,0,0.0055452865064695,0.00184842883548983,0,0,0,0,0,0,0
Otu3265,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu10714,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu1961,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu7371,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu222,0.044362292051756,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0
Otu1068,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu4047,0,0,0,0.00184842883548983,0.00369685767097967,0,0,0,0,0,0
Otu555,0,0.00369685767097967,0.00369685767097967,0.00184842883548983,0,0,0,0,0,0,0
Otu4475,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu2061,0,0,0.00369685767097967,0,0,0,0,0,0,0,0
Otu598,0,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0
Otu4456,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu4666,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu6737,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1862,0,0,0.00184842883548983,0,0,0,0,0,0,0,0.0055452865064695
Otu4145,0,0,0,0,0,0,0,0,0,0,0.0129390018484288
Otu7686,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu9619,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu5287,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu10118,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
