,X10_18S_H_C_0,X11_18S_H_C_0,X12_18S_H_C_0,X13_18S_H_C_0,X14_18S_H_C_0,X15_18S_H_C_0,X16_18S_H_C_0,X17_18S_H_C_0,X18_18S_H_C_0,X19_18S_H_C_0,X20_18S_H_C_0
Otu7964,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu570,0,0,0,0,0,0,0,0,0,0,0.0129390018484288
Otu823,0,0.00184842883548983,0,0,0.00184842883548983,0,0,0,0,0,0
Otu11878,0.00184842883548983,0.0055452865064695,0.00369685767097967,0.00739371534195933,0.00739371534195933,0.011090573012939,0.00184842883548983,0.00184842883548983,0,0,0
Otu56,0.0351201478743068,0,0.00924214417744917,0,0.00924214417744917,0.00924214417744917,0.00184842883548983,0.00739371534195933,0.0295748613678373,0.00184842883548983,0.00184842883548983
Otu9,0.0573012939001848,0.0646950092421442,0.066543438077634,0.0351201478743068,0.0942698706099815,0.0499075785582255,0.0794824399260629,0.0295748613678373,0.0683918669131238,0.184842883548983,0.306839186691312
Otu141,0,0,0,0.00184842883548983,0,0.00739371534195933,0.0406654343807763,0,0,0.00184842883548983,0
Otu661,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu327,0.00184842883548983,0.00369685767097967,0,0.0055452865064695,0.0055452865064695,0.00184842883548983,0,0.00184842883548983,0.00369685767097967,0,0
Otu571,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0,0,0
Otu1762,0.0055452865064695,0,0,0.00184842883548983,0.00369685767097967,0,0,0,0.00184842883548983,0.00184842883548983,0.00369685767097967
Otu380,0.0240295748613678,0.00184842883548983,0.00369685767097967,0,0.011090573012939,0,0.00184842883548983,0.0055452865064695,0.00369685767097967,0.00369685767097967,0.00184842883548983
Otu48,0.0295748613678373,0.33086876155268,0.0406654343807763,0.0147874306839187,0.0258780036968577,0.0129390018484288,0.055452865064695,0.0240295748613678,0.0295748613678373,0.022181146025878,0.0258780036968577
