,Confidence,Group,Group1,Domain,Phylum,Class,Order,Genus,Species
Otu2608,0.99994781,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu4566,0.999978515,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1413,0.925557362,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycotina_X,Acaulospora,Acaulospora_sp.
Otu5479,0.751865963,Eukaryota,Opisthokonta,Fungi,,,,,
Otu102,0.999992229,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu803,0.871486645,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4123,0.950387266,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Cochlonema,Cochlonema_euryblastum
Otu1516,0.783161711,Eukaryota,Opisthokonta,Fungi,,,,,
Otu6819,0.836660343,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytriomyces,Chytriomyces_sp.
Otu5374,0.993569743,Eukaryota,Opisthokonta,Fungi,,,,,
Otu6249,0.927492488,Eukaryota,Opisthokonta,Fungi,,,,,
Otu3290,0.899139758,Eukaryota,Opisthokonta,Fungi,,,,,
Otu2053,0.999979094,Eukaryota,Opisthokonta,Fungi,,,,,
Otu8434,0.99978064,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Endogone,
Otu929,0.999985874,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycetes,,
Otu438,0.729478546,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,
Otu13018,0.997952048,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus,Cryptococcus_terricola
Otu1946,0.808762759,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1353,0.863854099,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu4033,0.999834063,Eukaryota,Opisthokonta,Fungi,,,,,
Otu7842,0.809411207,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1732,0.995118216,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus,Cryptococcus_dimennae
Otu3223,0.999925655,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1657,0.97795464,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytridiomycetes_X,Chytridiomycetes_X_sp.
Otu259,0.948687506,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycetes,Glomus,Glomus_sp.
Otu2376,0.99889348,Eukaryota,Opisthokonta,Fungi,,,,,
Otu6511,0.999508896,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu1609,0.982564244,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu2605,0.935987737,Eukaryota,Opisthokonta,Fungi,,,,,
Otu5579,0.982221886,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Mucoromycotina_XX,Mucoromycotina_XX_sp.
Otu2354,0.875985212,Eukaryota,Opisthokonta,Fungi,,,,,
Otu7932,0.997030942,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu938,0.95751605,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu3914,0.945843814,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Thamnocephalis,Thamnocephalis_sphaerospora
Otu2994,0.982583622,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,,,
Otu2386,0.974019131,Eukaryota,Opisthokonta,Fungi,,,,,
Otu2024,0.827687417,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu3455,0.716883227,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Sporobolomyces,Sporobolomyces_sasicola
Otu1728,0.999343879,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,,,
Otu9430,0.960796851,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1435,0.999999983,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Platygloea,Platygloea_sp.
Otu1939,0.948393866,Eukaryota,Opisthokonta,Fungi,,,,,
Otu303,0.999984967,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,,,
Otu6825,0.999155811,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1532,0.983935893,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycotina_X,Ambispora,Ambispora_sp.
Otu2710,0.840106616,Eukaryota,Opisthokonta,Fungi,,,,,
Otu565,0.825246416,Eukaryota,Opisthokonta,Fungi,Kickxellomycota,Kickxellomycotina,Harpellales,Spiromyces,Spiromyces_minutus
Otu7265,0.710152143,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4055,0.811583008,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,,
Otu2845,0.999890538,Eukaryota,Opisthokonta,Fungi,,,,,
Otu797,0.99194734,Eukaryota,Opisthokonta,Fungi,Entomophthoromycota,Entomophthoromycotina,Entomophthorales,Conidiobolus,Conidiobolus_nanodes
Otu4249,0.99693461,Eukaryota,Opisthokonta,Fungi,,,,,
