,X10_15N_H_N_0,X11_15N_H_N_0,X12_15N_H_N_0,X13_15N_H_N_0,X14_15N_H_N_0,X15_15N_H_N_0,X16_15N_H_N_0,X17_15N_H_N_0,X18_15N_H_N_0,X19_15N_H_N_0,X20_15N_H_N_0
Otu1605,0,0,0.0018796992481203,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0,0.0037593984962406,0,0.0018796992481203
Otu569,0,0,0.00281954887218045,0,0.00093984962406015,0,0.00093984962406015,0,0.0018796992481203,0,0
Otu1682,0,0,0,0,0,0,0,0,0,0.00469924812030075,0
Otu323,0.00281954887218045,0.00093984962406015,0,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0.00469924812030075,0.00093984962406015,0.00281954887218045,0.0037593984962406
Otu136,0.0460526315789474,0.0507518796992481,0.0281954887218045,0.0197368421052632,0.0150375939849624,0.0460526315789474,0.00657894736842105,0.0300751879699248,0.0150375939849624,0.0140977443609023,0.00469924812030075
Otu108,0.0056390977443609,0.0037593984962406,0.00657894736842105,0.0422932330827068,0.0648496240601504,0.00469924812030075,0.0056390977443609,0.0103383458646617,0.0281954887218045,0.0056390977443609,0.0150375939849624
Otu38,0.00281954887218045,0,0,0,0,0,0,0,0,0,0
Otu79,0.0545112781954887,0.0300751879699248,0.0103383458646617,0.0093984962406015,0.0075187969924812,0.0281954887218045,0.0112781954887218,0.00657894736842105,0.0169172932330827,0.0169172932330827,0.0075187969924812
Otu140,0.0093984962406015,0,0,0.0056390977443609,0.0159774436090226,0.00281954887218045,0.0169172932330827,0.0103383458646617,0.00281954887218045,0.00469924812030075,0.00093984962406015
Otu221,0,0,0.0244360902255639,0.00093984962406015,0,0.00281954887218045,0.00469924812030075,0.00281954887218045,0.00469924812030075,0.0037593984962406,0.0263157894736842
Otu12631,0,0,0,0.0093984962406015,0.0225563909774436,0.00281954887218045,0.0018796992481203,0.00093984962406015,0.00093984962406015,0,0
Otu219,0.00469924812030075,0,0,0.00093984962406015,0.0018796992481203,0.00845864661654135,0,0,0,0,0.00281954887218045
Otu10247,0,0,0,0,0,0.0037593984962406,0,0,0.00093984962406015,0,0
Otu240,0.0150375939849624,0.00281954887218045,0,0.0018796992481203,0,0.0037593984962406,0,0.00657894736842105,0.00281954887218045,0.00469924812030075,0.0037593984962406
Otu5352,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu2370,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu160,0.018796992481203,0.0131578947368421,0.00093984962406015,0.0018796992481203,0.0037593984962406,0.00281954887218045,0.0056390977443609,0.0216165413533835,0.0037593984962406,0.0131578947368421,0.0075187969924812
Otu2271,0,0,0,0,0,0,0.0037593984962406,0,0,0,0
Otu86,0,0,0,0,0,0,0,0,0,0.00281954887218045,0.00281954887218045
Otu1378,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0
Otu9158,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu12670,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu589,0.00093984962406015,0,0.00093984962406015,0.0037593984962406,0.00469924812030075,0,0,0.0018796992481203,0.00093984962406015,0.0206766917293233,0.012218045112782
Otu431,0.00093984962406015,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203,0.0018796992481203,0.0037593984962406,0.00469924812030075,0,0.00469924812030075
Otu437,0.0037593984962406,0,0,0,0.0018796992481203,0,0.00093984962406015,0.00093984962406015,0,0.0018796992481203,0.0018796992481203
Otu1713,0,0,0,0,0,0,0,0,0,0,0.0018796992481203
Otu2850,0.0018796992481203,0,0,0.00281954887218045,0,0.00093984962406015,0,0,0.00093984962406015,0,0
Otu14465,0.0018796992481203,0,0,0,0,0,0,0,0.00093984962406015,0.0037593984962406,0
Otu652,0,0,0,0,0,0,0,0.0206766917293233,0,0,0
Otu4381,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu145,0.00469924812030075,0.012218045112782,0.00093984962406015,0.0018796992481203,0.0103383458646617,0.0075187969924812,0.00469924812030075,0.00093984962406015,0.00469924812030075,0.0075187969924812,0.00281954887218045
Otu119,0.0037593984962406,0,0.0018796992481203,0,0,0.0093984962406015,0,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.0018796992481203
Otu3447,0.00093984962406015,0.00093984962406015,0,0.0018796992481203,0,0,0,0,0,0.0037593984962406,0
Otu10284,0.0093984962406015,0,0,0,0,0,0,0,0,0,0
Otu168,0.00657894736842105,0.0018796992481203,0.00657894736842105,0.00469924812030075,0.0103383458646617,0.0018796992481203,0.0018796992481203,0.0037593984962406,0.0234962406015038,0.0112781954887218,0.0140977443609023
Otu1111,0.012218045112782,0.0056390977443609,0.0037593984962406,0.00281954887218045,0.0018796992481203,0.0018796992481203,0.00281954887218045,0.0018796992481203,0.00093984962406015,0,0.0018796992481203
Otu347,0,0.0018796992481203,0.00093984962406015,0.012218045112782,0.00093984962406015,0,0,0.00469924812030075,0.0018796992481203,0.00093984962406015,0
Otu2090,0,0.0037593984962406,0.0018796992481203,0.0018796992481203,0.0056390977443609,0.00657894736842105,0.0018796992481203,0.00469924812030075,0.0056390977443609,0.0018796992481203,0.0037593984962406
Otu8397,0,0,0,0.0056390977443609,0,0,0,0.0018796992481203,0,0.0018796992481203,0
Otu499,0,0.0018796992481203,0,0.0037593984962406,0,0.0018796992481203,0,0.0018796992481203,0,0,0.00093984962406015
Otu666,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0.00281954887218045,0.0037593984962406
Otu206,0.00281954887218045,0.00093984962406015,0.00093984962406015,0.0018796992481203,0,0,0.00093984962406015,0.00093984962406015,0.00093984962406015,0.0018796992481203,0
Otu1591,0.00093984962406015,0,0,0.0018796992481203,0,0.0018796992481203,0,0.00093984962406015,0,0,0
Otu161,0.00093984962406015,0.103383458646617,0.0592105263157895,0.0451127819548872,0.0911654135338346,0.00845864661654135,0.0018796992481203,0.0093984962406015,0.0056390977443609,0.00845864661654135,0.0037593984962406
Otu11896,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0
Otu204,0,0,0,0,0,0.0216165413533835,0.00093984962406015,0.00281954887218045,0,0.00281954887218045,0.0056390977443609
Otu911,0,0.00093984962406015,0,0,0,0.0150375939849624,0.0140977443609023,0.0018796992481203,0.00093984962406015,0.00093984962406015,0
Otu68,0.00845864661654135,0.00469924812030075,0.00657894736842105,0.0093984962406015,0.00281954887218045,0.0178571428571429,0.0093984962406015,0.0234962406015038,0.0263157894736842,0.012218045112782,0.0244360902255639
Otu115,0.00281954887218045,0.0018796992481203,0,0,0,0.0075187969924812,0.00093984962406015,0.0075187969924812,0.012218045112782,0.0056390977443609,0.00845864661654135
