,X10_12N_N_N_2,X11_12N_N_N_2,X12_12N_N_N_2,X13_12N_N_N_2,X14_12N_N_N_2,X15_12N_N_N_2,X16_12N_N_N_2,X17_12N_N_N_2,X18_12N_N_N_2,X19_12N_N_N_2,X20_12N_N_N_2
Otu240,0.00093984962406015,0.00469924812030075,0,0.00281954887218045,0.0131578947368421,0.0075187969924812,0.00469924812030075,0.0075187969924812,0.0075187969924812,0.00281954887218045,0.0018796992481203
Otu1490,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu2370,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu160,0.0112781954887218,0.00469924812030075,0.0234962406015038,0.0093984962406015,0,0.0018796992481203,0.00281954887218045,0.0056390977443609,0.0056390977443609,0.00469924812030075,0.00469924812030075
Otu2271,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu86,0.0018796992481203,0.00093984962406015,0.00093984962406015,0,0,0,0.00093984962406015,0.0018796992481203,0.00469924812030075,0.00093984962406015,0.0056390977443609
Otu1378,0,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0.00281954887218045
Otu9158,0.00281954887218045,0.00093984962406015,0.00281954887218045,0.00093984962406015,0.00469924812030075,0.0018796992481203,0.0018796992481203,0.00093984962406015,0,0.0018796992481203,0.00093984962406015
Otu1787,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203,0,0
Otu431,0.0140977443609023,0.00469924812030075,0.00657894736842105,0.0140977443609023,0.00469924812030075,0.0093984962406015,0.0103383458646617,0.00657894736842105,0.00469924812030075,0.0056390977443609,0.00657894736842105
Otu437,0,0.00093984962406015,0.00093984962406015,0.0075187969924812,0.0037593984962406,0.00657894736842105,0.00093984962406015,0.0018796992481203,0.00281954887218045,0.0037593984962406,0.00281954887218045
Otu1713,0.0018796992481203,0.00281954887218045,0,0.0037593984962406,0,0,0,0,0,0,0
Otu2850,0,0,0,0.0018796992481203,0.0056390977443609,0.00469924812030075,0.00093984962406015,0,0.0018796992481203,0.0018796992481203,0
Otu14465,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0,0,0,0,0.0018796992481203,0,0
Otu652,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu81,0.012218045112782,0,0,0,0,0,0.00093984962406015,0,0.0056390977443609,0.0573308270676692,0.0206766917293233
Otu4381,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0.00093984962406015,0,0.00093984962406015,0
Otu145,0.012218045112782,0.0037593984962406,0.0112781954887218,0.0037593984962406,0.0018796992481203,0.012218045112782,0.0234962406015038,0.0037593984962406,0,0.00093984962406015,0.0018796992481203
Otu119,0.00469924812030075,0.00845864661654135,0.0216165413533835,0.0159774436090226,0.0093984962406015,0.0131578947368421,0.0075187969924812,0.00281954887218045,0.0056390977443609,0.0093984962406015,0.0131578947368421
Otu3312,0,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0,0
Otu3447,0,0,0,0,0,0.00093984962406015,0,0,0,0.00093984962406015,0
Otu10284,0.0319548872180451,0.0037593984962406,0.0422932330827068,0,0,0.0037593984962406,0.0018796992481203,0,0,0,0
Otu168,0.0093984962406015,0.0075187969924812,0.0159774436090226,0.0253759398496241,0.018796992481203,0.012218045112782,0.0169172932330827,0.0178571428571429,0.0234962406015038,0.0131578947368421,0.0469924812030075
Otu4481,0.00093984962406015,0.0018796992481203,0.00093984962406015,0.0018796992481203,0,0,0,0,0,0,0
Otu1241,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu1111,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.0037593984962406,0.00845864661654135,0.0056390977443609,0.00093984962406015,0.00093984962406015,0.00657894736842105,0.0037593984962406,0.0018796992481203
Otu347,0.00093984962406015,0.0018796992481203,0,0,0.00093984962406015,0.0037593984962406,0,0.00093984962406015,0.0056390977443609,0.00281954887218045,0
Otu2090,0,0,0.00093984962406015,0.00093984962406015,0.0112781954887218,0.00281954887218045,0.0037593984962406,0,0.0037593984962406,0.0018796992481203,0.00093984962406015
