,X10_5S_H_C_0,X11_5S_H_C_0,X12_5S_H_C_0,X13_5S_H_C_0,X14_5S_H_C_0,X15_5S_H_C_0,X16_5S_H_C_0,X17_5S_H_C_0,X18_5S_H_C_0,X19_5S_H_C_0,X20_5S_H_C_0
Otu1685,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0.0018796992481203,0.00281954887218045,0
Otu919,0,0,0.0018796992481203,0.0056390977443609,0.00281954887218045,0,0,0.00281954887218045,0.00093984962406015,0,0.00093984962406015
Otu1967,0,0,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015
Otu426,0,0,0,0,0,0,0,0,0.00093984962406015,0,0.0018796992481203
Otu1746,0,0,0,0,0,0,0,0,0,0.0018796992481203,0
Otu318,0.00093984962406015,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0.0018796992481203,0.00281954887218045,0.0037593984962406
Otu796,0.00281954887218045,0,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203,0.0018796992481203,0,0.00281954887218045,0
Otu611,0,0,0,0,0,0,0,0,0,0.0018796992481203,0.0056390977443609
Otu829,0.0018796992481203,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu5938,0,0,0,0,0,0,0.0018796992481203,0,0,0,0
Otu2702,0,0,0,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0
Otu1587,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu1837,0,0,0,0,0,0,0,0,0,0.0018796992481203,0
Otu2827,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu2803,0,0,0,0.00093984962406015,0,0,0,0,0,0.0018796992481203,0
Otu6140,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0,0,0
Otu416,0,0,0,0,0.00093984962406015,0,0,0,0.00093984962406015,0,0.00093984962406015
Otu1102,0,0.00093984962406015,0,0.0018796992481203,0,0,0,0,0.0018796992481203,0,0.00093984962406015
Otu5159,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu1229,0,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu8216,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu966,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu768,0,0.0018796992481203,0.0018796992481203,0.0037593984962406,0.00093984962406015,0.00093984962406015,0.00093984962406015,0.0018796992481203,0.00657894736842105,0.00281954887218045,0
Otu1336,0,0,0,0,0,0,0,0,0,0,0.00281954887218045
Otu3065,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0,0,0
Otu1293,0,0,0,0,0,0,0.0018796992481203,0.0018796992481203,0,0.0018796992481203,0
Otu256,0,0.00093984962406015,0.0018796992481203,0,0.00093984962406015,0,0,0,0,0.0056390977443609,0.0018796992481203
Otu1523,0,0,0,0,0,0,0,0,0,0,0.0075187969924812
Otu3146,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu5513,0,0,0,0,0,0.0018796992481203,0.0018796992481203,0.0018796992481203,0,0,0
Otu1494,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu4888,0,0,0.0018796992481203,0,0,0.00093984962406015,0.00093984962406015,0,0.00093984962406015,0,0.00093984962406015
Otu1481,0,0,0,0,0,0,0,0.00281954887218045,0.00281954887218045,0,0.00093984962406015
Otu1009,0,0,0,0,0,0.0018796992481203,0.0037593984962406,0,0,0,0.0018796992481203
Otu12955,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu1404,0.00093984962406015,0,0,0.0018796992481203,0,0,0,0,0,0,0
Otu2270,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu6797,0,0,0,0.00281954887218045,0,0,0,0,0,0,0
Otu2609,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu1393,0,0,0,0,0,0,0,0,0,0,0.00657894736842105
Otu3124,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu1324,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0,0
Otu2743,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu2304,0.00093984962406015,0,0,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015
Otu2591,0,0.0018796992481203,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0
Otu623,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0.00281954887218045,0.00093984962406015,0
Otu1590,0.00093984962406015,0,0,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015
Otu1997,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu2879,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu1901,0,0,0,0,0,0,0.0018796992481203,0,0,0,0
Otu950,0.00093984962406015,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu3035,0,0,0,0,0.00281954887218045,0,0,0,0,0,0
Otu2529,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu3755,0,0,0,0,0,0,0.0018796992481203,0,0,0,0
Otu8211,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu1197,0,0.00093984962406015,0,0,0.00281954887218045,0.00093984962406015,0.00281954887218045,0,0.00281954887218045,0.0018796992481203,0.0018796992481203
Otu5592,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu546,0.00093984962406015,0,0.00281954887218045,0,0.0018796992481203,0.00093984962406015,0,0,0,0,0
Otu11121,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu8630,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu685,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu12857,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu1564,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu1738,0,0,0.0018796992481203,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0
Otu1964,0,0,0,0,0,0,0,0,0,0,0.00469924812030075
Otu2088,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu1319,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0,0,0
Otu4451,0,0,0,0,0,0,0,0,0,0.00093984962406015,0.0056390977443609
Otu1703,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu6276,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu1178,0,0,0,0.0018796992481203,0,0,0,0,0,0,0
Otu7117,0,0,0,0,0,0.00093984962406015,0,0,0,0.00093984962406015,0
Otu7660,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu1246,0,0,0,0,0,0,0,0.0018796992481203,0,0.0037593984962406,0
Otu3981,0.00093984962406015,0,0.0018796992481203,0.0037593984962406,0,0,0,0,0,0.00093984962406015,0
Otu348,0,0.00093984962406015,0.00093984962406015,0,0,0.00281954887218045,0.0018796992481203,0.0037593984962406,0,0,0
Otu2181,0,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu1727,0,0.00093984962406015,0,0.00093984962406015,0,0,0,0,0,0,0
Otu3138,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0
Otu1313,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0.00281954887218045,0,0
Otu836,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu2899,0,0.0018796992481203,0.00093984962406015,0,0.00093984962406015,0,0.0018796992481203,0,0.00093984962406015,0.00093984962406015,0
Otu1198,0,0,0,0,0.0018796992481203,0,0,0,0,0,0
Otu1018,0,0,0,0,0.00093984962406015,0,0,0,0,0,0.00281954887218045
Otu7244,0,0,0,0,0,0.00093984962406015,0.0018796992481203,0,0.0018796992481203,0,0
Otu1574,0,0,0.00093984962406015,0,0,0,0,0,0.0018796992481203,0,0
Otu864,0,0,0,0,0,0,0,0,0,0,0.00281954887218045
Otu393,0,0,0,0.0056390977443609,0.00845864661654135,0,0,0,0,0,0
Otu3196,0,0,0,0,0,0,0,0,0,0.0018796992481203,0
Otu5349,0,0,0,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015
Otu622,0,0,0,0,0,0.00093984962406015,0.0037593984962406,0,0,0,0
Otu678,0.00093984962406015,0,0,0,0.00093984962406015,0.00093984962406015,0.0018796992481203,0,0.0018796992481203,0.00281954887218045,0.00093984962406015
Otu912,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu832,0.00093984962406015,0,0.0018796992481203,0,0,0,0,0,0,0,0
Otu1518,0,0,0,0.00093984962406015,0,0,0,0,0.0037593984962406,0,0
Otu2072,0.00281954887218045,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu2508,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu8998,0,0.00657894736842105,0.00093984962406015,0,0.00093984962406015,0,0,0,0.0018796992481203,0,0.00093984962406015
Otu7471,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu2008,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu3598,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu956,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu1900,0,0,0.0018796992481203,0,0,0,0,0.0018796992481203,0.00093984962406015,0,0
Otu12278,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0,0.0018796992481203,0.00093984962406015,0
Otu14167,0,0.00093984962406015,0,0,0,0,0,0,0,0,0.0018796992481203
Otu2739,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu646,0.00281954887218045,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0,0
Otu395,0.00093984962406015,0,0,0,0,0.0018796992481203,0.00281954887218045,0,0,0,0
Otu377,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0.00093984962406015,0.00281954887218045,0.0056390977443609
Otu4127,0,0.00093984962406015,0,0,0,0,0.0018796992481203,0,0,0.00281954887218045,0
Otu751,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu472,0.00093984962406015,0,0,0.0018796992481203,0,0,0,0,0,0,0.00093984962406015
Otu906,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0.00093984962406015,0,0
Otu1250,0.00093984962406015,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0
Otu2517,0,0,0.00281954887218045,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0
Otu2399,0,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0
Otu3390,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
